sample,fastq1,fastq2,type,set,Replicate_ID
SRR4036047_28hpf_G1,SRR4036047_1.fastq,SRR4036047_2.fastq,G1,1,NA
SRR4036048_28hpf_S,SRR4036048_1.fastq,SRR4036048_2.fastq,S,1,Day1
SRR4036049_28hpf_G1,SRR4036049_1.fastq,SRR4036049_2.fastq,G1,1,NA
SRR4036050_28hpf_S,SRR4036050_1.fastq,SRR4036050_2.fastq,S,1,Day1
SRR4036051_28hpf_G1,SRR4036051_1.fastq,SRR4036051_2.fastq,G1,1,NA
SRR4036052_28hpf_S,SRR4036052_1.fastq,SRR4036052_2.fastq,S,1,Day1
SRR4036059_Bud,SRR4036059_1.fastq,SRR4036059_2.fastq,S,1,Bud
SRR4036060_Bud,SRR4036060_1.fastq,SRR4036060_2.fastq,S,1,Bud
SRR4036061_ZTF_G1,SRR4036061_1.fastq,SRR4036061_2.fastq,G1,2,ZTF
SRR4036062_ZTF_S,SRR4036062_1.fastq,SRR4036062_2.fastq,S,2,ZTF
